Plaats,Woon- plaats- code,Postcode (laagste tot hoogste),Gemeente met link naar gemeentelijke website,Provincie
Oosterend,,8401–8401,Opsterland,Fryslân
Oosterend,2742,1794–1794,Texel,Noord-Holland
Oosterend / Easterein,2614,8897–8897,Terschelling,Fryslân
Oosterens,,5408–5408,Uden,Noord-Brabant
Oosterhesselen,2160,7861–7861,Coevorden,Drenthe
Oosterhof,,8171–8171,Epe,Gelderland
Oosterholt,,8271–8271,Kampen,Overijssel
Oosterhout,3596,4901–4908,Oosterhout,Noord-Brabant
Oosterhout,1869,6678–6678,Overbetuwe,Gelderland
Den Oosterhuis,,7707–7707,Hardenberg,Overijssel
Oosterhuizen,,7364–7364,Apeldoorn,Gelderland
Oosterik,,5595–5595,Heeze-Leende,Noord-Brabant
Oosterland,2683,4307–4307,Schouwen-Duiveland,Zeeland
Oosterleek,1510,1609–1609,Drechterland,Noord-Holland
Oosternieland,3477,9985–9985,Het Hogeland,Groningen
Oosternijkerk / Easternijtsjerk,3407,9137–9137,Noardeast-Fryslân,Fryslân
Oosterse Bos,,7761–7761,Emmen,Drenthe
Oosterstreek,1735,8388–8388,Weststellingwerf,Fryslân
Oosterwijk,,7021–7021,Bronckhorst,Gelderland
Oosterwijk,2274,4163–4163,Vijfheerenlanden,Utrecht
Oosterwijtwerd,3451,9911–9911,Loppersum,Groningen
Oosterwolde,3072,8097–8097,Oldebroek,Gelderland
Oosterwolde / Easterwâlde,1763,8431–8431,Ooststellingwerf,Fryslân
Oosterzand,,9821–9821,Westerkwartier,Groningen
Oosterzee / Eastersee,2246,8536–8536,De Fryske Marren,Fryslân
Oosterzee Buren / Eastersee-Buorren,,8536–8536,De Fryske Marren,Fryslân
Oosthem,,8748–8748,Súdwest-Fryslân,Fryslân
Oosthem / Easthim,2415,8618–8618,Súdwest-Fryslân,Fryslân
Oosthoek,,3265–3265,Hoeksche Waard,Zuid-Holland
Oosthuizen,1841,1474–1474,Edam-Volendam,Noord-Holland
Oostindië,,9354–9354,Westerkwartier,Groningen
Oostkapelle,2781,4356–4356,Veere,Zeeland
Oostknollendam,2285,1534–1534,Wormerland,Noord-Holland
Oostlaar,,4724–4724,Roosendaal,Noord-Brabant
Oostmahorn / De Skâns,,9133–9133,Noardeast-Fryslân,Fryslân
Oostrum,3605,5807–5807,Venray,Limburg
Oostrum / Eastrum,3408,9125–9125,Noardeast-Fryslân,Fryslân
Oostum,,9893–9893,Westerkwartier,Groningen
Oostvoorne,1209,3233–3233,Westvoorne,Zuid-Holland
Oostwold,2344,9828–9828,Westerkwartier,Groningen
Oostwold,1898,9682–9682,Oldambt,Groningen
Oostwolderpolder,,9682–9682,Oldambt,Groningen
Oostwoud,3567,1678–1678,Medemblik,Noord-Holland
Oostzaan,2113,1511–1511,Oostzaan,Noord-Holland
Ootmarsum,1412,7631–7631,Dinkelland,Overijssel
Opeinde / De Pein,3285,9218–9218,Smallingerland,Fryslân
Opende,2180,9865–9865,Westerkwartier,Groningen
Ophemert,3364,4061–4061,West Betuwe,Gelderland
Opheusden,1098,4043–4043,Neder-Betuwe,Gelderland
Ophoven,,6101–6101,Echt-Susteren,Limburg
Ophoven,,6088–6088,Leudal,Limburg
Ophuis / Ophûs,,9283–9283,Achtkarspelen,Fryslân
Opijnen,3365,4184–4184,West Betuwe,Gelderland
Oploo,2082,5841–5841,Sint Anthonis,Noord-Brabant
Opmeeden,,9937–9937,Delfzijl,Groningen
Opmeer,2791,1716–1716,Opmeer,Noord-Holland
Oppenhuizen / Toppenhuzen,2416,8625–8625,Súdwest-Fryslân,Fryslân
Opperburen,,9216–9216,Smallingerland,Fryslân
Opperdoes,3155,1674–1674,Medemblik,Noord-Holland
Opperduit,,2941–2941,Krimpenerwaard,Zuid-Holland
Den Opslag,,5087–5087,Hilvarenbeek,Noord-Brabant
Opwetten,,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Opwierde,,9902–9902,Appingedam,Groningen
Oranje,3019,9416–9416,Midden-Drenthe,Drenthe
Oranjedorp,,7885–7885,Emmen,Drenthe
Oranjeoord,,4794–4794,Moerdijk,Noord-Brabant
Oranjewoud / (It) Oranjewâld,2189,8453–8453,Heerenveen,Fryslân
Orvelte,3020,9441–9441,Midden-Drenthe,Drenthe
Osen,,6067–6097,Maasgouw,Limburg
Oshaar,,7958–7958,De Wolden,Drenthe
Osingahuizen / Osingahuzen,,8621–8621,Súdwest-Fryslân,Fryslân
Ospel,2038,6035–6035,Nederweert,Limburg
Ospeldijk,,6035–6035,Nederweert,Limburg
Oss,3249,5341–5349,Oss,Noord-Brabant
Ossendrecht,1002,4641–4641,Woensdrecht,Noord-Brabant
Ossenisse,3102,4589–4589,Hulst,Zeeland
Ossenwaard,,6914–6914,Zevenaar,Gelderland
Ossenwaard,2842,3989–3989,Vijfheerenlanden,Utrecht
Ossenzijl,2709,8376–8376,Steenwijkerland,Overijssel
Ostaaijen,,4885–4885,Zundert,Noord-Brabant
Osterbos,,5866–5866,Horst aan de Maas,Limburg
Oterleek,1888,1842–1842,Alkmaar,Noord-Holland
Othene,,4533–4533,Terneuzen,Zeeland
Otterdijk,,5715–5715,Someren,Noord-Brabant
Otterlo,2767,6731–6731,Ede,Gelderland
Ottersum,2480,6595–6595,Gennep,Limburg
Ottoland,3628,2975–2975,Molenlanden,Zuid-Holland
Oud Ade,3540,2374–2374,Kaag en Braassem,Zuid-Holland
Oud Annerveen,1175,9655–9655,Aa en Hunze,Drenthe
Oud Gastel,1248,4751–4751,Halderberge,Noord-Brabant
Oud Kerkhof,,4691–4691,Tholen,Zeeland
Oud Lemiers,,6295–6295,Vaals,Limburg
Oud Ootmarsum,1413,7637–7637,Dinkelland,Overijssel
Oud Veeningen,,7924–7924,De Wolden,Drenthe
Oud Verlaat,,2761–2761,Zuidplas,Zuid-Holland
Oud-Aa,,3621–3621,Stichtse Vecht,Utrecht
Oud-Alblas,1985,2969–2969,Molenlanden,Zuid-Holland
Oud-Avereest,,7707–7707,Hardenberg,Overijssel
Oud-Beijerland,2793,3261–3263,Hoeksche Waard,Zuid-Holland
Oud-Bergentheim,,7691–7691,Hardenberg,Overijssel
Oud-Bodegraven,,2411–2411,Bodegraven-Reeuwijk,Zuid-Holland
Oud-Dijk,,6942–6942,Montferland,Gelderland
Oud-Drimmelen,,4924–4924,Drimmelen,Noord-Brabant
Oud-Empel,,5235–5235,s-Hertogenbosch,Noord-Brabant
Oud-Groevenbeek,,3851–3851,Ermelo,Gelderland
Oud-Kamerik,,3471–3471,Woerden,Utrecht
Oud-Leusden,,3832–3832,Leusden,Utrecht
Oud-Loosdrecht,,1231–1231,Wijdemeren,Noord-Holland
Oud-Lutten,,7775–7775,Hardenberg,Overijssel
Oud-Maarsseveen,,3612–3612,Stichtse Vecht,Utrecht
Oud-Reemst,,6731–6731,Ede,Gelderland
Oud-Reeuwijk,,2811–2811,Bodegraven-Reeuwijk,Zuid-Holland
Oud-Roosteren,,6114–6114,Echt-Susteren,Limburg
Oud-Sabbinge,,4471–4471,Goes,Zeeland
Oud-Valkenburg,,6305–6305,Valkenburg aan de Geul,Limburg
Oud-Vossemeer,2077,4698–4698,Tholen,Zeeland
Oud-Wulven,,3992–3992,Houten,Utrecht
Oud-Zevenaar,,6905–6905,Zevenaar,Gelderland
Oud-Zuilen,,3611–3611,Stichtse Vecht,Utrecht
Ouddorp,2932,3253–3253,Goeree-Overflakkee,Zuid-Holland
Oude Bildtzijl / Aldebiltsyl,3328,9078–9078,Waadhoeke,Fryslân
Oude Kerk,,6176–6176,Beek,Limburg
Oude Leede,,2641–2641,Pijnacker-Nootdorp,Zuid-Holland
Oude Maasdijk,,6621–6621,West Maas en Waal,Gelderland
Oude Meer,1599,1438–1438,Haarlemmermeer,Noord-Holland
Oude Molen,,4661–4661,Bergen op Zoom,Noord-Brabant
Oude Molen,,7434–7434,Deventer,Overijssel
Oude Pekela,1397,9665–9665,Pekela,Groningen
Oude Polder,,4574–4574,Terneuzen,Zeeland
Oude Roodehaan,,9723–9723,Groningen,Groningen
Oude Schouw / Alde Skou,,8491–8491,Heerenveen,Fryslân
Oude Statenzijl,,9688–9688,Oldambt,Groningen
Oude Stee,,4631–4631,Woensdrecht,Noord-Brabant
Oude Stoof,,4585–4585,Hulst,Zeeland
Oude Strumpt,,5113–5113,Baarle-Nassau,Noord-Brabant
Oude Terp / Ald Terp,,9131–9131,Noardeast-Fryslân,Fryslân
Oude Waranda,,5836–5836,Boxmeer,Noord-Brabant
Oude Wetering,3039,2377–2377,Kaag en Braassem,Zuid-Holland
Oude Wetering,,8293–8293,Kampen,Overijssel
Oude Wetering,,8294–8294,Kampen,Overijssel
Oude Wetering,,8044–8044,Zwolle,Overijssel
Oude Willem,3117,8439–8439,Westerveld,Drenthe
Oude-Niedorp,,1734–1734,Hollands Kroon,Noord-Holland
Oude-Tonge,2134,3255–3255,Goeree-Overflakkee,Zuid-Holland
Oudedijk,,9688–9688,Oldambt,Groningen
Oudedorp,,4339–4339,Middelburg,Zeeland
Oudega / Aldegea,1680,8582–8582,De Fryske Marren,Fryslân
Oudega / Aldegea,3286,9216–9216,Smallingerland,Fryslân
Oudega / Aldegea,2417,8614–8614,Súdwest-Fryslân,Fryslân
Oudehaske / Aldehaske,3523,8465–8465,De Fryske Marren,Fryslân
Oudehorne / Aldhoarne,2195,8413–8413,Heerenveen,Fryslân
Het Oudeland,,4451–4451,Borsele,Zeeland
Het Oudeland,,4691–4691,Tholen,Zeeland
Oudeland,,2935–2935,Krimpenerwaard,Zuid-Holland
Oudeland,,4507–4507,Sluis,Zeeland
Oudelande,1261,4436–4436,Borsele,Zeeland
Oudemirdum / Aldemardum,1681,8567–8567,De Fryske Marren,Fryslân
Oudemolen,1320,4796–4796,Moerdijk,Noord-Brabant
Oudemolen,2917,9484–9484,Tynaarlo,Drenthe
Oudenbosch,1246,4731–4731,Halderberge,Noord-Brabant
Oudendijk,1188,1631–1631,Koggenland,Noord-Holland
Oudendijk,,3267–3267,Hoeksche Waard,Zuid-Holland
Oudendijk,,3291–3291,Hoeksche Waard,Zuid-Holland
Oudendijk,,4285–4285,Altena,Noord-Brabant
Oudenhoorn,1388,3227–3227,Hellevoetsluis,Zuid-Holland
Oudenmolen,,5591–5591,Heeze-Leende,Noord-Brabant
Ouderkerk aan de Amstel,,1184–1184,Amstelveen,Noord-Holland
Ouderkerk aan de Amstel,2129,1191–1191,Ouder-Amstel,Noord-Holland
Ouderkerk aan den IJssel,2373,2935–2935,Krimpenerwaard,Zuid-Holland
Oudeschans,2233,9696–9696,Westerwolde,Groningen
Oudeschild,2743,1792–1792,Texel,Noord-Holland
Oudeschip,3478,9984–9984,Het Hogeland,Groningen
Oudeschoot / Aldskoat,2188,8451–8451,Heerenveen,Fryslân
Oudesluis,,3286–3286,Hoeksche Waard,Zuid-Holland
Oudesluis,2763,1757–1757,Schagen,Noord-Holland
Oudewater,1910,3421–3421,Oudewater,Utrecht
Oudewegstervaart / Aldeweisterfeart,,8457–8457,Heerenveen,Fryslân
Oudezijl,1423,9691–9691,Oldambt,Groningen
Oudheusden,3519,5156–5156,Heusden,Noord-Brabant
Oudkarspel,1119,1724–1724,Langedijk,Noord-Holland
Oudkarspel,3290,1724–1724,Schagen,Noord-Holland
Oudleusen,,7722–7722,Dalfsen,Overijssel
Oudorp,2350,1829–1829,Alkmaar,Noord-Holland
Oudwoude / Aldwâld,3313,9294–9294,Noardeast-Fryslân,Fryslân
Oukoop,,2811–2811,Bodegraven-Reeuwijk,Zuid-Holland
Oukoop,,3626–3626,Stichtse Vecht,Utrecht
Ouwendorp,,3886–3886,Barneveld,Gelderland
Ouwerkerk,2684,4305–4305,Schouwen-Duiveland,Zeeland
Ouwster-Nijega / Ousternijegea,2501,8514–8514,De Fryske Marren,Fryslân
Ouwsterhaule / Ousterhaule,2500,8513–8513,De Fryske Marren,Fryslân
Oventje,,5411–5411,Landerd,Noord-Brabant
Over de Dijk,,9541–9541,Westerwolde,Groningen
Over-Diemen,,1111–1111,Diemen,Noord-Holland
Overa,,4836–4836,Breda,Noord-Brabant
Overakker,,5731–5731,Geldrop-Mierlo,Noord-Brabant
Overasselt,3496,6611–6611,Heumen,Gelderland
Overberg,3588,3959–3959,Utrechtse Heuvelrug,Utrecht
Overberg,,4635–4635,Woensdrecht,Noord-Brabant
Overbiel,,7274–7274,Berkelland,Gelderland
Overboeicop,,4145–4145,Vijfheerenlanden,Utrecht
Overbroek,,5809–5809,Venray,Limburg
Overbrug,,5707–5707,Helmond,Noord-Brabant
Overdinkel,1715,7586–7586,Losser,Overijssel
Overeys,,6287–6287,Gulpen-Wittem,Limburg
Overgeul,,6281–6281,Gulpen-Wittem,Limburg
Overhaelen,,6081–6081,Leudal,Limburg
Overheek,,6343–6343,Voerendaal,Limburg
Overheicop,,4145–4145,Vijfheerenlanden,Utrecht
Overlangbroek,,3947–3947,Wijk bij Duurstede,Utrecht
Overlangel,3263,5357–5357,Oss,Noord-Brabant
Overloon,1220,5825–5825,Boxmeer,Noord-Brabant
Overschild,1354,9625–9625,Midden-Groningen,Groningen
Overschot,,5761–5761,Gemert-Bakel,Noord-Brabant
Overslag,1132,4575–4575,Terneuzen,Zeeland
Overslingeland,,4225–4225,Molenlanden,Zuid-Holland
De Overval,,4651–4651,Steenbergen,Noord-Brabant
Overveen,2653,2051–2051,Bloemendaal,Noord-Holland
Overwater,,7443–7443,Hellendoorn,Overijssel
Overwoud,,6741–6741,Ede,Gelderland
Ovezande,1262,4441–4441,Borsele,Zeeland
Oxe,,7428–7428,Deventer,Overijssel
Paal,,4569–4569,Hulst,Zeeland
Paardelanden,,7925–7925,De Wolden,Drenthe
Paarlo,,6077–6077,Roerdalen,Limburg
Paasloo,2710,8378–8378,Steenwijkerland,Overijssel
De Paauwen,,9625–9625,Midden-Groningen,Groningen
Paddepoel,,9738–9738,Groningen,Groningen
Padhuis,,7742–7742,Coevorden,Drenthe
Paesens / Peazens,3409,9136–9136,Noardeast-Fryslân,Fryslân
Pallert,,9545–9545,Westerwolde,Groningen
De Pan,,5527–5527,Bladel,Noord-Brabant
Pandelaarse Kampen,,5421–5421,Gemert-Bakel,Noord-Brabant
Pandgat,,5688–5688,Oirschot,Noord-Brabant
Panheel,,6097–6097,Maasgouw,Limburg
Pannenschop,,5753–5753,Deurne,Noord-Brabant
Pannerden,2979,6911–6911,Zevenaar,Gelderland
Panningen,3443,5981–5981,Peel en Maas,Limburg
Papekop,1911,3464–3464,Oudewater,Utrecht
Papendrecht,1477,3351–3356,Papendrecht,Zuid-Holland
Papenhoven,2818,6124–6124,Sittard-Geleen,Limburg
Papenveer,,2461–2461,Nieuwkoop,Zuid-Holland
Papenvoort,1176,9447–9447,Aa en Hunze,Drenthe
Papenvoort,,5446–5447,Boxmeer,Noord-Brabant
Papenvoort,,5446–5447,Sint Anthonis,Noord-Brabant
Park,,5446–5446,Sint Anthonis,Noord-Brabant
Parrega / Parregea,2319,8763–8763,Súdwest-Fryslân,Fryslân
Partij,,6286–6286,Gulpen-Wittem,Limburg
De Pas,,6681–6681,Lingewaard,Gelderland
De Pas,,6686–6686,Lingewaard,Gelderland
Pasop,,9355–9355,Westerkwartier,Groningen
Passewaaij,,4007–4007,Tiel,Gelderland
Passluis,,4554–4554,Terneuzen,Zeeland
Paterswolde,2910,9765–9765,Tynaarlo,Drenthe
Patrijzenhoek,,4561–4561,Hulst,Zeeland
Pauluspolder,,4585–4585,Hulst,Zeeland
Peebos,,9863–9863,Westerkwartier,Groningen
Peeldijk,,5735–5735,Laarbeek,Noord-Brabant
Peelkant,,5845–5845,Sint Anthonis,Noord-Brabant
Peelsehuis / Peelse Huis (?),,5427–5427,Boekel,Noord-Brabant
Peelstraat,,5427–5427,Boekel,Noord-Brabant
Peelstraat,,5446–5446,Sint Anthonis,Noord-Brabant
Peerenboom,,4273–4273,Altena,Noord-Brabant
Peest,1645,9334–9334,Noordenveld,Drenthe
Peij,,6102–6102,Echt-Susteren,Limburg
Peins,1368,8812–8812,Waadhoeke,Fryslân
Peize,1646,9321–9321,Noordenveld,Drenthe
Peizermade,,9321–9321,Noordenveld,Drenthe
Peizerweg,,9727–9727,Groningen,Groningen
Peizerwold,,9321–9321,Noordenveld,Drenthe
Pelikaan,,4791–4791,Moerdijk,Noord-Brabant
Pelsendijk,,4681–4681,Steenbergen,Noord-Brabant
Peperga / Pepergea,1736,8396–8396,Weststellingwerf,Fryslân
Pepinusbrug,,6102–6102,Echt-Susteren,Limburg
Pernis,,3195–3195,Rotterdam,Zuid-Holland
Persingen,2878,6575–6575,Berg en Dal,Gelderland
Pesaken,,6271–6271,Gulpen-Wittem,Limburg
Pesse,1818,7933–7933,Hoogeveen,Drenthe
Pesse,3118,7991–7991,Westerveld,Drenthe
Petersburg,,8435–9241,Ooststellingwerf,Fryslân
Petten,2761,1755–1755,Schagen,Noord-Holland
Philippine,1133,4553–4553,Terneuzen,Zeeland
Piaam,2320,8756–8756,Súdwest-Fryslân,Fryslân
Piekezijl / Pikesyl,,8617–8617,Súdwest-Fryslân,Fryslân
Pieperij,,7924–7924,De Wolden,Drenthe
Piepert,,6287–6287,Gulpen-Wittem,Limburg
Pieriksmars,,7437–7437,Deventer,Overijssel
Piershil,2888,3265–3265,Hoeksche Waard,Zuid-Holland
Pieterburen,3423,9968–9968,Het Hogeland,Groningen
Pietersbierum / Pitersbierrum,1374,8856–8856,Waadhoeke,Fryslân
Pieterzijl,2125,9844–9844,Westerkwartier,Groningen
Pijnacker,1141,2641–2642,Pijnacker-Nootdorp,Zuid-Holland
Pijnenburg,,3763–3763,Soest,Utrecht
Piksen,,7688–7688,Hellendoorn,Overijssel
Pikveld,,7742–7742,Coevorden,Drenthe
Pingjum / Penjum,2321,8749–8749,Súdwest-Fryslân,Fryslân
Pinke(n)veer (?),,3381–3381,Molenlanden,Zuid-Holland
Pinke(n)veer (?),,3381–3381,Molenlanden,Zuid-Holland
Pitteperk,,4353–4353,Veere,Zeeland
Plaat,,6285–6285,Gulpen-Wittem,Limburg
De Plaats,,5437–5437,Cuijk,Noord-Brabant
Plaatsluis,,4641–4641,Woensdrecht,Noord-Brabant
Plaggenborg,,9541–9541,Westerwolde,Groningen
Plak,,6562–6562,Berg en Dal,Gelderland
Plakkebord,,4508–4508,Sluis,Zeeland
Plankendorp,,4493–4493,Noord-Beveland,Zeeland
Planketent,,4458–4458,Goes,Zeeland
Plantage,,7031–7031,Doetinchem,Gelderland
Plantage Centrum,,4725–4725,Roosendaal,Noord-Brabant
Plasmolen,2804,6586–6586,Mook en Middelaar,Limburg
Platveld,,5768–5768,Peel en Maas,Limburg
Plein,,5271–5271,Sint-Michielsgestel,Noord-Brabant
Poederoijen,2635,5307–5307,Zaltbommel,Gelderland
Poederoijensehoek,,5307–5307,Zaltbommel,Gelderland
Poeldijk,2661,2685–2685,Westland,Zuid-Holland
Poeldonk,,5275–5275,Sint-Michielsgestel,Noord-Brabant
De Poffert,,9832–9832,Westerkwartier,Groningen
De Pol,,7707–7707,Hardenberg,Overijssel
De Pol,,9321–9321,Noordenveld,Drenthe
De Pol,2698,8337–8337,Steenwijkerland,Overijssel
Pol,,6019–6019,Maasgouw,Limburg
Polen,,9909–9909,Delfzijl,Groningen
De Polle,,9422–9422,Midden-Drenthe,Drenthe
Polle,,8463–8463,De Fryske Marren,Fryslân
De Pollen,,7671–7671,Twenterand,Overijssel
Polsbroek,1962,3415–3415,Lopik,Utrecht
Polsbroekerdam,,3405–3415,Lopik,Utrecht
Polsdonken,,5688–5688,Oirschot,Noord-Brabant
Ponte,,4515–4515,Sluis,Zeeland
Ponte Avancé,,4515–4515,Sluis,Zeeland
Poonhaven,,4543–4543,Terneuzen,Zeeland
Poortugaal,2363,3171–3176,Albrandswaard,Zuid-Holland
Poortvliet,2072,4693–4693,Tholen,Zeeland
Aan de Popelaar,,6104–6104,Echt-Susteren,Limburg
Poppendamme,,4364–4364,Veere,Zeeland
Poppenhuizen / Poppenhuzen,,8495–8495,Heerenveen,Fryslân
Poppenwier,2533,9013–9013,Súdwest-Fryslân,Fryslân
Portengen,,3628–3628,Stichtse Vecht,Utrecht
Portengense Brug,,3628–3628,Stichtse Vecht,Utrecht
Ten Post,1830,9792–9792,Groningen,Groningen
Posterenk,,7384–7384,Voorst,Gelderland
Posterholt,2593,6061–6061,Roerdalen,Limburg
De Posthoorn,,4715–4715,Rucphen,Noord-Brabant
Posthoorn,,8097–8097,Oldebroek,Gelderland
Posthoorn,,4553–4553,Terneuzen,Zeeland
Posthorn (?),,8278–8278,Kampen,Overijssel
Pothoek,,7475–7475,Hof van Twente,Overijssel
Prickart,,6351–6351,Simpelveld,Limburg
Prinsenbeek,1705,4841–4841,Breda,Noord-Brabant
Prinsenkamp,,3862–3862,Nijkerk,Gelderland
Puiflijk,2906,6655–6655,Druten,Gelderland
De Punt,2915,9493–9493,Tynaarlo,Drenthe
Punthorst,1049,7715–7715,Staphorst,Overijssel
Purmer,1749,1481–1481,Edam-Volendam,Noord-Holland
Purmer,1946,1482–1482,Waterland,Noord-Holland
Purmerbuurt,,1445–1445,Purmerend,Noord-Holland
Purmerend,3103,1441–1448,Purmerend,Noord-Holland
Purmerland,1330,1451–1451,Landsmeer,Noord-Holland
Putbroek,,6105–6105,Echt-Susteren,Limburg
Puth,2102,6155–6155,Beekdaelen,Limburg
Putselaar,,5443–5443,Cuijk,Noord-Brabant
Putte,1003,4645–4645,Woensdrecht,Noord-Brabant
Putten,3580,3881–3882,Putten,Gelderland
Puttershoek,2384,3297–3297,Hoeksche Waard,Zuid-Holland
Pyramide,,4515–4515,Sluis,Zeeland
Quatre Bras,,7211–7213,Lochem,Gelderland
Quatrebras,,9254–9254,Tytsjerksteradiel,Fryslân
Quirijnstok,,5011–5011,Tilburg,Noord-Brabant
Raaieind,,5971–5971,Horst aan de Maas,Limburg
Raakeind,,5126–5126,Gilze en Rijen,Noord-Brabant
Raalte,1491,8101–8103,Raalte,Overijssel
Raam,,5076–5076,Haaren,Noord-Brabant
Raamberg,,4882–4882,Zundert,Noord-Brabant
Raamsdonk,1752,4944–4944,Geertruidenberg,Noord-Brabant
Raamsdonksveer,1750,4941–4942,Geertruidenberg,Noord-Brabant
Raar,,6231–6231,Meerssen,Limburg
Raard,3410,9155–9155,Noardeast-Fryslân,Fryslân
Raayen,,6661–6661,Overbetuwe,Gelderland
Radewijk,1559,7791–7791,Hardenberg,Overijssel
Radio Kootwijk,3563,7348–7348,Apeldoorn,Gelderland
Raerd,,9012–9012,Súdwest-Fryslân,Fryslân
Raerd,2534,9012–9012,Súdwest-Fryslân,Fryslân
Rafelder,,7075–7075,Oude IJsselstreek,Gelderland
Rakens,,4858–4858,Alphen-Chaam,Noord-Brabant
Rakt,,5406–5406,Uden,Noord-Brabant
De Rand,,4693–4693,Tholen,Zeeland
Rande,,7431–7431,Deventer,Overijssel
Randenburg,,2811–2811,Bodegraven-Reeuwijk,Zuid-Holland
Randwijk,1870,6668–6668,Overbetuwe,Gelderland
Ransdaal,1854,6311–6312,Voerendaal,Limburg
Ransdorp,,1028–1028,Amsterdam,Noord-Holland
Ranum,,9951–9951,Het Hogeland,Groningen
Raren,,6291–6291,Vaals,Limburg
Rasquert,2470,9955–9955,Het Hogeland,Groningen
De Ratte,,4574–4574,Terneuzen,Zeeland
Ravensgat,,5761–5761,Gemert-Bakel,Noord-Brabant
Ravenstein,3254,5371–5371,Oss,Noord-Brabant
Ravenswaaij,3382,4119–4119,Buren,Gelderland
Ravenswoud / Ravenswâld,1764,8427–8427,Ooststellingwerf,Fryslân
Readtsjerk / Roodkerk,3272,9067–9067,Dantumadiel,Fryslân
Reahûs / Roodhuis,2028,8736–8736,Súdwest-Fryslân,Fryslân
Rechteren,,7722–7722,Dalfsen,Overijssel
Rectum,,7642–7642,Wierden,Overijssel
Reedijk,,3274–3274,Hoeksche Waard,Zuid-Holland
Reek,1852,5375–5375,Landerd,Noord-Brabant
Reeth,,6662–6662,Overbetuwe,Gelderland
Reeuwijk,2476,2811–2811,Bodegraven-Reeuwijk,Zuid-Holland
Reeuwijk-Brug / Reeuwijkse Brug / Reeuwijksebrug (?),,2811–2811,Bodegraven-Reeuwijk,Zuid-Holland
Reeuwijk-Dorp,,2811–2811,Bodegraven-Reeuwijk,Zuid-Holland
Het Reidland,,9781–9781,Het Hogeland,Groningen
Reidswal / Reidswâl,,9123–9123,Noardeast-Fryslân,Fryslân
Aan Reijans,,6104–6104,Echt-Susteren,Limburg
Reijerscop,,3481–3481,Woerden,Utrecht
Reijmerstok,1227,6274–6274,Gulpen-Wittem,Limburg
Reitsum,3209,9175–9175,Noardeast-Fryslân,Fryslân
Rekken,1663,7157–7157,Berkelland,Gelderland
Remmerden,,3911–3911,Rhenen,Utrecht
Remswerd,,8774–8774,Súdwest-Fryslân,Fryslân
Ren,,5425–5425,Gemert-Bakel,Noord-Brabant
Renesse,2685,4325–4325,Schouwen-Duiveland,Zeeland
Renkum,2991,6871–6871,Renkum,Gelderland
Renneborg,,9541–9541,Westerwolde,Groningen
Renswoude,2141,3927–3927,Renswoude,Utrecht
Respelhoek,,7274–7274,Berkelland,Gelderland
Ressen,3137,6684–6684,Lingewaard,Gelderland
Retersbeek,,6367–6367,Voerendaal,Limburg
Reth,,5111–5111,Baarle-Nassau,Noord-Brabant
Retranchement,2970,4525–4525,Sluis,Zeeland
Reusel,1877,5541–5541,Reusel-De Mierden,Noord-Brabant
Reuth,,5111–5111,Baarle-Nassau,Noord-Brabant
Reutje,,6077–6077,Roerdalen,Limburg
Reutum,1293,7667–7667,Tubbergen,Overijssel
Reuver,1949,5953–5953,Beesel,Limburg
Reuzenhoek,,4543–4543,Terneuzen,Zeeland
Rewert / Rewerd,,8832–8832,Leeuwarden,Fryslân
Rha,1528,7224–7224,Bronckhorst,Gelderland
Rhaan,,7447–7447,Hellendoorn,Overijssel
Rheden,1501,6991–6991,Rheden,Gelderland
Rhederbrug,,9695–9695,Westerwolde,Groningen
Rhederveld,,9699–9699,Westerwolde,Groningen
Rhee,2393,9486–9486,Assen,Drenthe
Rheebruggen,,7964–7964,De Wolden,Drenthe
Rheeveld,,9415–9415,Midden-Drenthe,Drenthe
Rheeze,1560,7794–7794,Hardenberg,Overijssel
Rheezerveen,1561,7797–7797,Hardenberg,Overijssel
Rhenen,1399,3911–3912,Rhenen,Utrecht
Rhenoy,3528,4152–4152,West Betuwe,Gelderland
Rhienderen,,6971–6971,Brummen,Gelderland
Rhoon,2362,3161–3161,Albrandswaard,Zuid-Holland
Ridderbuurt,,2402–2402,Alphen aan den Rijn,Zuid-Holland
